Participant name	Average gaze event duration	Number of fixations	Recording duration [ms]	Recording duration [sec]	Number of 30 sec during recording	Number of fixations per 30 sec	Number of 20 sec during recording	Number of fixations per 20 sec	Number of 10 sec during recording	Number of fixations per 10 sec	Number of 5 sec during recording	Number of fixations per 5 sec
liia59	178.8576696	1356	681407	681.407	22.71356667	162.3258933	34.07035	39.80000205	68.1407	19.90000103	136.2814	9.950000514
liina 49	220.5192532	857	342923	342.923	11.43076667	201.5612834	17.14615	49.98206594	34.2923	24.99103297	68.5846	12.49551649
liina46	251.9532544	1690	636469	636.469	21.21563333	120.8542757	31.82345	53.10549296	63.6469	26.55274648	127.2938	13.27637324
liis27	195.7536672	1977	421093.1788	421.0931788	14.03643929	308.4115501	21.05465894	93.89845761	42.10931788	46.94922881	84.21863576	23.4746144
liis31	200.3370536	448	189063	189.063	6.3021	315.2917282	9.45315	47.3916102	18.9063	23.6958051	37.8126	11.84790255
LIISA 10	227.56621	1095	509379	509.379	16.9793	202.7174265	25.46895	42.99352741	50.9379	21.49676371	101.8758	10.74838185
liisa16	342.8401361	294	145594	145.594	4.853133333	111.6804264	7.2797	40.38627965	14.5594	20.19313983	29.1188	10.09656991
liiset22	264.8349206	630	494559	494.559	16.4853	160.0213524	24.72795	25.47724336	49.4559	12.73862168	98.9118	6.369310841
LIISI 17	252.5768595	1210	451779	451.779	15.0593	161.3620819	22.58895	53.56601347	45.1779	26.78300674	90.3558	13.39150337
liisi12	309.3334802	2270	1055704	1055.704	35.19013333	86.6720217	52.7852	43.00447853	105.5704	21.50223926	211.1408	10.75111963
liisi28	299.0876246	2408	1198270	1198.27	39.94233333	104.475619	59.9135	40.19127576	119.827	20.09563788	239.654	10.04781894
lily23	328.1135802	405	195170	195.17	6.505666667	85.7713788	9.7585	41.50228006	19.517	20.75114003	39.034	10.37557002
lily25	348.2546816	1068	522226	522.226	17.40753333	83.8142873	26.1113	40.90183177	52.2226	20.45091589	104.4452	10.22545794
