Participant name	Average gaze event duration	Number of fixations	Recording duration [ms]	Recording duration [sec]	Number of 30 sec during recording	Number of fixations per 30 sec	Number of 20 sec during recording	Number of fixations per 20 sec	Number of 10 sec during recording	Number of fixations per 10 sec	Number of 5 sec during recording	Number of fixations per 5 sec	cluster	Gender	Age	Poekülastuse eesmärk/põhjus	Number of planned purchases	Any unplanned purchase	Did notice the screens	If noticed, what do you remember about the screen ad	Did any ad affect purchases?	Type of checkout	Why you chose remote control / cash register / self-service	Calibration	Mood rating	Fatigue rating
evert 27	230.0578947	190	156334	156.334	5.211133333	213.9649724	7.8167	24.30693259	15.6334	12.1534663	31.2668	6.076733148	0	Mees	27	juua osta midagi	4	jah	Ei		ei	Pult	vähe asju, kiirem	Halb	5	1
Hanna 36	324.8586103	1655	713386	713.386	23.77953333	115.0569257	35.6693	46.39844348	71.3386	23.19922174	142.6772	11.59961087	2	Naine	36	et kiiresti midagi süüa osta	1	ikka, krõpsud ja magus	Ei		suured allahindluse sildid	Iseteenindus	lühike järjekird, kiirem	Väga hea	3	3
Heli62	168.6511628	215	197319	197.319	6.5773	479.3760358	9.86595	21.79212341	19.7319	10.89606171	39.4638	5.448030854	0	Naine	62	suhkrut 	7	maiseaine	Ei		hind	Tava	pole korvi	Halb	4	4
ille 55	196.4408602	93	51454	51.454	1.715133333	106.1141991	2.5727	36.1487931	5.1454	18.07439655	10.2908	9.037198274	0	Naine	55	vegan kauba ost	10	ei	Ei		ei	Iseteenindus	ei võtnud praegu pulti	Väga hea	5	2
ivar 26	220.1796733	551	219665	219.665	7.322166667	164.4322036	10.98325	50.16730021	21.9665	25.0836501	43.933	12.54182505	0	Mees	26	poest on kohupiima vaja	10	ei	Ei		ei	Tava	sõltuvalt järjekorrast ja sellest, kas on sula või kaart	Väga hea	5	1
JAAN 49	253.1230032	626	223270	223.27	7.442333333	137.0537914	11.1635	56.07560353	22.327	28.03780176	44.654	14.01890088	0	Mees	49	wc paber, õlu	7	ei	Ei		ei	Tava	ei teagi, lihtsalt	Väga hea	5	1
JAANA 48	222.5271565	1252	422489	422.489	14.08296667	162.6787916	21.12445	59.26781526	42.2489	29.63390763	84.4978	14.81695381	0	Naine	48	toidukaubad	9	jah	Ei		kollased sildid mõjutasid kohvi puhul nt	Tava	üksi olles muidu nutikassa, aga abikaasa on kontrolli suhtes tundlik, halb kogemus	Väga hea	5	1
jaana55	354.4389499	1638	795240	795.24	26.508	87.82254414	39.762	41.19511091	79.524	20.59755545	159.048	10.29877773	2	Naine	55	salatit ostma	9	jaa sooduspaakkumisega liha 	Ei		ei	Pult	meeldib kassasüsteem coopis rohkeim 	Väga hea	5	1
JAANIKA 28	295.754386	228	84210	84.21	2.807	113.2882081	4.2105	54.15033844	8.421	27.07516922	16.842	13.53758461	0	Naine	28	kohvipiima ost	10	plaanin nätsu osta	Ei		ei	Tava	pole hetkel järjekorda	Väga hea	5	1
jan50	206.2907801	141	184041	184.041	6.1347	157.6279199	9.20205	15.32267267	18.4041	7.661336333	36.8082	3.830668166	0	Mees	50	sefiir marmelaad 	9	ei	Ei		ei	Iseteenindus	harjumus	Halb	4	3
JANAR 52	321.7312953	1243	544145	544.145	18.13816667	126.142848	27.20725	45.68635198	54.4145	22.84317599	108.829	11.421588	2	Mees	52	koratoit, rotimürk ja söök	7	ploomikompott	Ei		ei	Tava	harjumus	Väga hea	3	2
kadi 37	249.0386812	3852	1472351	1472.351	49.07836667	185.5399969	73.61755	52.32447969	147.2351	26.16223985	294.4702	13.08111992	1	Naine	37	süüa osta	7	oli küll	Ei		soodusprotsendid, sooduspakkumised	Pult	saab asjad kohe kotti panna	Väga hea	4	3
kadi 38	263.6981132	1113	400607	400.607	13.35356667	147.9754473	20.03035	55.56567908	40.0607	27.78283954	80.1214	13.89141977	0	Naine	38	lapsele kooki	5	ei	Ei		ei	Iseteenindus	et vältida järjekordi 	Halb	4	2
kadri31	202.6657895	760	399721	399.721	13.32403333	205.0430175	19.98605	38.0265235	39.9721	19.01326175	79.9442	9.506630875	0	Naine	31	toit	4	ei	Ei		ei	Pult	harjumus	Hea	4	5
kaili33	244.9970501	1356	565690	565.69	18.85633333	128.9222012	28.2845	47.94145203	56.569	23.97072602	113.138	11.98536301	2	Naine	33	toit	8	ja	Ei		ei	Tava	mugavam	Väga hea	4	4
kair14	272.6312057	282	148896	148.896	4.9632	112.0245003	7.4448	37.87878788	14.8896	18.93939394	29.7792	9.46969697	0	Mees	14	juua	5	ei	Ei		ei	Iseteenindus	kiirem	Väga hea	4	3
kaisa 38	292.5365854	164	102815	102.815	3.427166667	60.39974712	5.14075	31.90195983	10.2815	15.95097992	20.563	7.975489958	0	Naine	38	vett	10	ei	Ei		coop, sest see kõige odavam	Tava	oli sularaha	Väga hea	5	1
kaisa 56	224.279646	565	191500	191.5	6.383333333	189.8694517	9.575	59.0078329	19.15	29.50391645	38.3	14.75195822	0	Naine	56	pakk kommi lapselapsele	8	võib-olla pähklid	Ei		et olid eraldi väljas (kui need oleks riiulis olnud, poleks ostnud)	Tava	vähe asju	Väga hea	5	4
kalle 33	236.1314168	487	295662	295.662	9.8554	98.32173225	14.7831	32.94302278	29.5662	16.47151139	59.1324	8.235755694	0	Mees	33	mähkmed ja jook	7	magus	Ei		teadlikult mitte	Iseteenindus	järjekordi pole	Väga hea	5	4
kalle26	260.6576819	742	413361	413.361	13.7787	83.24442799	20.66805	35.90082277	41.3361	17.95041138	82.6722	8.975205692	0	Mees	26	juua	4	jah	Ei		ei	Iseteenindus	kiirem	Väga hea	3	3
Kalle29	237.6768559	229	90559	90.559	3.018633333	209.6975452	4.52795	50.57476341	9.0559	25.28738171	18.1118	12.64369085	0	Mees	29	kommikarpi	5	ei	Ei		ei	Iseteenindus	mugavam	Väga hea	5	2
kalle48	281.5036675	409	160358	160.358	5.345266667	123.2866461	8.0179	51.01086319	16.0358	25.5054316	32.0716	12.7527158	0	Mees	48	jooke	9	ei	Ei		ei	Iseteenindus	kiirem	Väga hea	5	1
